Object: Back | Key: set
Object: Power | Key: Sub
Object: Power | Key: syncing
Object: Power | Key: _start
Object: Power | Key: _onVarChange_Power
Object: FreddyCoolDown | Key: BonnieTime
Object: PlaySync | Key: ON
Object: PlaySync | Key: OFF
Object: PlaySync | Key: _onPlayerJoined
Object: GuardKillChica | Key: BonnieKill
Object: GuardKillChica | Key: tp
Object: GuardKillChica | Key: night
Object: Clock | Key: TimeEvent
Object: Clock | Key: tp
Object: Kitchen | Key: set
Object: Kitchen | Key: _onPlayerTriggerEnter
Object: Cube (4) | Key: start
Object: Cube (4) | Key: stop
Object: Cube (4) | Key: _onPlayerTriggerEnter
Object: Cube (4) | Key: _onPlayerTriggerExit
Object: GuardKillBonnie | Key: BonnieKill
Object: GuardKillBonnie | Key: tp
Object: GuardKillBonnie | Key: night
Object: Stage | Key: set
Object: Stage | Key: _onPlayerTriggerEnter
Object: Closet | Key: set
Object: Closet | Key: _onPlayerTriggerEnter
Object: BOX | Key: _onPlayerTriggerEnter
Object: BonnieCoolDown | Key: BonnieTime
Object: BonnieCoolDown | Key: timer
Object: Stage (2) | Key: set
Object: Stage (2) | Key: _onPlayerTriggerEnter
Object: Text (1) | Key: set
Object: Text (1) | Key: owner
Object: Text (1) | Key: _onPlayerJoined
Object: Text (1) | Key: _onPlayerLeft
Object: Plane.023 | Key: LOL
Object: Plane.023 | Key: on
Object: Plane.023 | Key: off
Object: Plane.023 | Key: _interact
Object: Plane.023 | Key: _onPlayerJoined
Object: GuardKillFoxy | Key: BonnieKill
Object: GuardKillFoxy | Key: tp
Object: GuardKillFoxy | Key: night
Object: Cube.048 | Key: Yes
Object: Cube.048 | Key: No
Object: Cube.048 | Key: _onPlayerJoined
Object: Door | Key: set
Object: Door | Key: _onPlayerTriggerEnter
Object: GuardKillGoldie | Key: BonnieKill
Object: GuardKillGoldie | Key: tp
Object: GuardKillGoldie | Key: night
Object: STIME | Key: AM12
Object: STIME | Key: AM1
Object: STIME | Key: AM2
Object: STIME | Key: AM3
Object: STIME | Key: AM4
Object: STIME | Key: AM5
Object: STIME | Key: TimeSet
Object: CheckAmb | Key: add
Object: CheckAmb | Key: sub
Object: CheckAmb | Key: _onPlayerTriggerEnter
Object: CheckAmb | Key: _onPlayerTriggerExit
Object: Cube (9) | Key: _onPlayerTriggerEnter
Object: Door&Power | Key: PowerDoorL
Object: Door&Power | Key: PowerDoorR
Object: FreddyKillTimer | Key: BonnieTime
Object: Cube (7) | Key: lols
Object: Cube (7) | Key: _onPlayerTriggerEnter
Object: Cube (7) | Key: _onPlayerTriggerExit
Object: AvatarSET | Key: avatarSET
Object: GuardKillFreddy | Key: BonnieKill
Object: GuardKillFreddy | Key: tp
Object: GuardKillFreddy | Key: night
Object: Main | Key: set
Object: Main | Key: _onPlayerTriggerEnter
Object: VCs (5) | Key: y
Object: VCs (5) | Key: sub
Object: VCs (5) | Key: add
Object: VCs (5) | Key: _onPlayerTriggerEnter
Object: VCs (5) | Key: _onPlayerTriggerExit
Object: Speakers.001 | Key: _start
Object: Cube (6) | Key: _onPlayerTriggerEnter
Object: Cube (6) | Key: _onPlayerTriggerExit
Object: NightExtreme | Key: SetLevel
Object: NightExtreme | Key: _interact
Object: VCs | Key: yA1
Object: VCs | Key: yA2
Object: VCs | Key: yA3
Object: VCs | Key: sub
Object: VCs | Key: add
Object: VCs | Key: _onPlayerTriggerEnter
Object: VCs | Key: _onPlayerTriggerExit
Object: Door | Key: set
Object: Door | Key: _onPlayerTriggerEnter
Object: Stage | Key: set
Object: Stage | Key: _onPlayerTriggerEnter
Object: RoleSync (1) | Key: ON
Object: RoleSync (1) | Key: OFF
Object: RoleSync (1) | Key: _onPlayerJoined
Object: VRCWorld | Key: _start
Object: AvatarPedestal (3) | Key: _interact
Object: AvatarPedestal (4) | Key: _interact
Object: AvatarPedestal (2) | Key: _interact
Object: FREDDYAVI | Key: _interact
Object: AvatarPedestal | Key: _interact
Object: GFREDDYAVI | Key: _interact
Object: BONNIEAVI | Key: _interact
Object: CHICAAVI | Key: _interact
Object: AvatarPedestal (1) | Key: _interact
Object: FOXYAVI | Key: _interact
